relative_time_s,boot_time_s,local_time,lock_valid,image_range_valid,image_distance_m,image_speed_valid,image_closing_speed_m_s,fused_range_valid,fused_distance_m,fused_speed_valid,fused_closing_speed_m_s,laser_fusion_used,laser_distance_compensated_m,laser_closing_speed_m_s,image_distance_scale,image_speed_scale,event
0.000,427.927123,2026-09-16T12:01:03.747+08:00,1,1,47.664,0,,0,,0,,0,,,,,image_range_first_valid
0.100,428.027123,2026-09-16T12:01:03.847+08:00,1,1,44.823,0,,0,,0,,0,,,,,
0.200,428.127123,2026-09-16T12:01:03.947+08:00,1,1,42.298,1,24.342,1,42.298,1,24.342,0,,,,,
0.300,428.227123,2026-09-16T12:01:04.047+08:00,1,1,40.764,1,21.603,1,40.764,1,21.603,0,,,,,
0.400,428.327123,2026-09-16T12:01:04.147+08:00,1,1,38.004,1,19.996,1,38.004,1,19.996,0,,,,,
0.500,428.427123,2026-09-16T12:01:04.247+08:00,1,1,36.758,1,20.445,1,36.758,1,20.445,0,,,,,
0.600,428.527123,2026-09-16T12:01:04.347+08:00,1,1,33.967,1,22.523,1,33.967,1,22.523,0,,,,,
0.700,428.627123,2026-09-16T12:01:04.447+08:00,1,1,32.484,1,20.184,1,32.484,1,20.184,0,,,,,
0.800,428.727123,2026-09-16T12:01:04.547+08:00,1,1,29.870,1,20.289,1,29.870,1,20.289,0,,,,,
0.900,428.827123,2026-09-16T12:01:04.647+08:00,1,1,27.638,1,21.674,1,27.638,1,21.674,0,,,,,
1.000,428.927123,2026-09-16T12:01:04.747+08:00,1,1,26.640,1,16.486,1,26.640,1,16.486,0,,,,,
1.100,429.027123,2026-09-16T12:01:04.847+08:00,1,1,24.841,1,14.561,1,24.841,1,14.561,0,,,,,
1.200,429.127123,2026-09-16T12:01:04.947+08:00,1,1,23.514,1,16.100,1,23.514,1,16.100,0,,,,,
1.300,429.227123,2026-09-16T12:01:05.047+08:00,1,1,22.094,1,13.518,1,22.094,1,13.518,0,,,,,
1.400,429.327123,2026-09-16T12:01:05.147+08:00,1,1,20.251,1,15.960,1,20.251,1,15.960,0,,,,,
1.500,429.427123,2026-09-16T12:01:05.247+08:00,1,1,18.684,1,17.601,1,18.684,1,17.601,0,,,,,
1.600,429.527123,2026-09-16T12:01:05.347+08:00,1,1,17.198,1,15.995,1,17.198,1,15.995,0,,,,,
1.700,429.627123,2026-09-16T12:01:05.447+08:00,1,1,15.136,1,17.168,1,15.136,1,17.168,0,,,,,
1.800,429.727123,2026-09-16T12:01:05.547+08:00,1,1,13.676,1,16.803,1,13.676,1,16.803,0,,,,,
1.900,429.827123,2026-09-16T12:01:05.647+08:00,1,1,12.033,1,15.891,1,12.033,1,15.891,0,6.872,,,,
2.000,429.927123,2026-09-16T12:01:05.747+08:00,1,1,10.148,1,16.649,1,5.593,1,15.494,1,5.593,15.494,0.564563,0.955163,
2.100,430.027123,2026-09-16T12:01:05.847+08:00,1,1,8.601,1,17.890,1,4.567,1,13.914,1,4.567,13.914,0.554798,0.890703,
2.200,430.127123,2026-09-16T12:01:05.947+08:00,1,1,6.609,1,17.636,1,3.623,1,13.445,1,3.623,13.445,0.540398,0.836326,
2.300,430.227123,2026-09-16T12:01:06.047+08:00,1,1,4.858,1,18.856,1,2.625,1,15.770,0,,,0.540398,0.836326,
2.400,430.327123,2026-09-16T12:01:06.147+08:00,1,1,2.915,1,19.571,1,1.575,1,16.368,0,,,0.540398,0.836326,
2.500,430.427123,2026-09-16T12:01:06.247+08:00,1,1,2.262,1,13.512,1,1.223,1,11.301,0,,,0.540398,0.836326,
2.600,430.527123,2026-09-16T12:01:06.347+08:00,1,1,2.060,1,5.272,1,1.113,1,4.409,0,,,0.540398,0.836326,
2.680,430.607025,2026-09-16T12:01:06.427+08:00,0,0,,0,,0,,0,,0,,,,,seeker_lock_lost
