requested_time_since_log_start_s,elapsed_since_image_range_valid_s,actual_sample_time_s,sample_offset_ms,image_distance_m,laser_distance_m,fused_distance_m,image_range_valid,fused_range_valid,laser_fusion_used,image_closing_speed_m_s,fused_closing_speed_m_s,target_locked
26.314,0.000,26.314,0.000,49.2225,,,1,0,0,,,1
26.414,0.100,26.409,-5.002,49.2225,,,1,0,0,,,1
26.514,0.200,26.509,-4.970,49.2225,,49.2225,1,1,0,0.0004,0.0004,1
26.614,0.300,26.614,0.018,47.6644,,47.6644,1,1,0,8.5963,8.5963,1
26.714,0.400,26.709,-4.968,47.6644,,47.6644,1,1,0,6.8301,6.8301,1
26.814,0.500,26.814,0.034,47.6644,,,1,0,0,,,1
26.914,0.600,26.909,-4.985,47.6644,,47.6644,1,1,0,2.5418,2.5418,1
27.014,0.700,27.014,0.032,46.2008,,46.2008,1,1,0,7.5401,7.5401,1
27.114,0.800,27.109,-4.930,46.2008,,46.2008,1,1,0,4.5252,4.5252,1
27.214,0.900,27.209,-4.921,46.2008,,,1,0,0,,,1
27.314,1.000,27.314,0.079,46.2008,,,1,0,0,,,1
27.414,1.100,27.409,-4.992,46.2008,,,1,0,0,,,1
27.514,1.200,27.514,0.021,44.8232,,44.8232,1,1,0,6.5417,6.5417,1
27.614,1.300,27.609,-4.966,44.8232,,44.8232,1,1,0,7.2809,7.2809,1
27.714,1.400,27.714,-0.001,43.5244,,43.5244,1,1,0,3.3394,3.3394,1
27.814,1.500,27.809,-5.002,43.5244,,43.5244,1,1,0,7.6045,7.6045,1
27.914,1.600,27.909,-4.985,43.5244,,43.5244,1,1,0,2.5776,2.5776,1
28.014,1.700,28.014,0.032,42.2977,,42.2977,1,1,0,6.2131,6.2131,1
28.114,1.800,28.109,-4.967,42.2977,,42.2977,1,1,0,6.2207,6.2207,1
28.214,1.900,28.214,0.034,42.2977,,42.2977,1,1,0,0.0003,0.0003,1
28.314,2.000,28.309,-4.969,41.1374,,41.1374,1,1,0,3.5859,3.5859,1
28.414,2.100,28.414,0.054,40.0381,,40.0381,1,1,0,7.4718,7.4718,1
28.514,2.200,28.509,-4.954,40.0381,,40.0381,1,1,0,7.8469,7.8469,1
28.614,2.300,28.609,-5.003,40.0381,,40.0381,1,1,0,4.4256,4.4256,1
28.714,2.400,28.714,-0.001,40.0381,,,1,0,0,,,1
28.814,2.500,28.809,-4.997,38.9952,,38.9952,1,1,0,4.5750,4.5750,1
28.914,2.600,28.914,-0.003,38.9952,,38.9952,1,1,0,5.5267,5.5267,1
29.014,2.700,29.009,-4.942,38.9952,,38.9952,1,1,0,-0.0000,-0.0000,1
29.114,2.800,29.114,0.043,38.0044,,38.0044,1,1,0,3.9744,3.9744,1
29.214,2.900,29.209,-4.997,38.0044,,38.0044,1,1,0,5.6184,5.6184,1
29.314,3.000,29.309,-4.955,37.0620,,37.0620,1,1,0,3.0784,3.0784,1
29.414,3.100,29.414,0.030,34.4917,,34.4917,1,1,0,15.4103,15.4103,1
29.514,3.200,29.509,-4.984,32.9644,,32.9644,1,1,0,19.4130,19.4130,1
29.614,3.300,29.614,0.067,32.2495,,32.2495,1,1,0,13.1404,13.1404,1
29.714,3.400,29.709,-4.972,32.2495,,32.2495,1,1,0,6.6687,6.6687,1
