requested_time_since_log_start_s,elapsed_since_start_s,actual_target_sample_time_s,sample_offset_ms,bbox_width_px,bbox_height_px,bbox_long_side_px,infrared_1280_distance_m,visible_1920_distance_m,visible_minus_infrared_m,visible_over_infrared_ratio,target_valid,logged_video_source
26.314,0.000,26.308,-5.781,31.0000,20.0000,31.0000,49.2225,74.1515,24.9290,1.5065,1,2
26.414,0.100,26.413,-0.769,31.0000,20.0000,31.0000,49.2225,74.1515,24.9290,1.5065,1,2
26.514,0.200,26.508,-5.779,31.0000,20.0000,31.0000,49.2225,74.1515,24.9290,1.5065,1,2
26.614,0.300,26.613,-0.781,32.0000,20.0000,32.0000,47.6644,71.8144,24.1500,1.5067,1,2
26.714,0.400,26.708,-5.782,32.0000,20.0000,32.0000,47.6644,71.8144,24.1500,1.5067,1,2
26.814,0.500,26.813,-0.780,32.0000,21.0000,32.0000,47.6644,71.8144,24.1500,1.5067,1,2
26.914,0.600,26.908,-5.776,32.0000,21.0000,32.0000,47.6644,71.8144,24.1500,1.5067,1,2
27.014,0.700,27.013,-0.782,33.0000,21.0000,33.0000,46.2008,69.6189,23.4182,1.5069,1,2
27.114,0.800,27.118,4.226,33.0000,21.0000,33.0000,46.2008,69.6189,23.4182,1.5069,1,2
27.214,0.900,27.213,-0.781,33.0000,21.0000,33.0000,46.2008,69.6189,23.4182,1.5069,1,2
27.314,1.000,27.318,4.222,33.0000,21.0000,33.0000,46.2008,69.6189,23.4182,1.5069,1,2
27.414,1.100,27.414,-0.581,33.0000,21.0000,33.0000,46.2008,69.6189,23.4182,1.5069,1,2
27.514,1.200,27.508,-5.781,34.0000,22.0000,34.0000,44.8232,67.5526,22.7294,1.5071,1,2
27.614,1.300,27.613,-0.780,34.0000,22.0000,34.0000,44.8232,67.5526,22.7294,1.5071,1,2
27.714,1.400,27.708,-5.780,35.0000,22.0000,35.0000,43.5244,65.6044,22.0800,1.5073,1,2
27.814,1.500,27.813,-0.705,35.0000,23.0000,35.0000,43.5244,65.6044,22.0800,1.5073,1,2
27.914,1.600,27.908,-5.734,35.0000,23.0000,35.0000,43.5244,65.6044,22.0800,1.5073,1,2
28.014,1.700,28.013,-0.731,36.0000,23.0000,36.0000,42.2977,63.7644,21.4667,1.5075,1,2
